88,1384448,
8677632,14831616,1983232,
8621824,14834944,1876736,
8586752,14769408,1859840,
8508928,14783232,1845248,
8515072,14764032,1830912,
8561920,14791424,1950976,
8502528,14707200,1847296,
8547840,14732032,1933568,
8546816,14768640,1918464,
8507136,14750208,1795072,
8565248,14736384,1960960,
8556544,14711296,1917440,
8577280,14739968,2027264,
8587264,14793472,2024192,
8599296,14843136,1975040,
8631552,14907392,2060032,
8604672,14856960,1968384,
8742656,14860288,1737472,
8750336,14929152,1979136,
8620800,14852864,1977344,
8636928,14898688,1899776,
8616448,14836480,1843968,
8647936,14824704,2017792,
8661248,14837760,2008576,
8708096,14852096,1838336,
8780288,14890752,2081024,
8767744,14893824,1984000,
8668928,14935552,1881344,
8633856,14877184,1961472,
8652288,14849280,1947136,
8591616,14875904,1839616,
8609792,14857216,1876480,
8638208,14910720,2034688,
8595968,14904320,1888512,
8635392,14897408,1954304,
8620032,14910464,1993472,
8608256,14891264,1923328,
8631296,14961152,2000384,
8621568,14899200,1968896,
8580608,14915072,1873920,
8571904,14913536,1936640,
8589568,14902272,1905920,
8919552,15000064,1916416,
8685312,14934528,1980672,
8645376,14809344,1887488,
8613888,14800384,1799936,
8630016,14824192,1874176,
8628992,14894336,1929216,
8633600,14874368,1906688,
8675584,14962688,2099712,
8728832,14993408,2131200,
8718336,14953728,2047488,
8646400,14921472,1847552,
8606720,14854912,1862144,
8602112,14910720,1976064,
8613120,14899200,1902848,
8645120,14923008,1895680,
8635136,14960128,1996288,
8625152,14920960,1956864,
8619008,14980352,2011392,
8586752,14956800,1937664,
8599808,14975488,2046208,
8603392,15021568,2014208,
8536832,14989824,1888768,
8528640,15177216,1958656,
8496128,15118848,1918464,
8698880,15099648,2147584,
8597248,15123712,2101248,
8496640,15087104,1905152,
8485632,15126272,2110720,
8483840,15081216,1868800,
8478208,15067904,1995008,
8512000,15051776,2068224,
8485632,15032064,1700864,
8572672,15097344,2059264,
8568576,15069440,1985536,
8488192,15074560,2000896,
8390656,15024384,1954048,
8347648,15022336,1668864,
8383488,15041536,2012160,
8377344,14958336,1897728,
8376576,14998528,1839360,
8379392,14968576,1945344,
8325376,15010560,1647872,
8372224,14994176,1981696,
8404224,14942720,1920000,
8322816,14988544,1738752,
8363776,14970624,1831168,
8331008,14993152,1828352,
8586496,15006208,1948928,
8408576,15024128,1970688,
8389120,15013376,1874688,
8383744,15000320,1938176,
8366592,15026176,1693184,
8440064,15037184,1991168,
8461568,14996224,1952512,
8441600,15037440,1794560,
8519168,15024384,1989376,
8558080,15055872,1970944,
8450048,15037184,1907712,
8431104,15007232,1974272,
8380928,15031808,1763328,
8409600,14984448,1898240,
8436736,15010560,1960960,
8400640,14976768,1793792,
8432896,14953472,1962496,
8444672,14994432,1977344,
8408064,14976000,1849344,
8454144,15002368,2047744,
8418304,14963712,1940736,
8396544,14985984,1766400,
8397824,14985984,1950208,
8914944,15003648,2029312,
8503808,14917376,1842176,
8475904,14841600,1825280,
8497152,14903296,1898752,
8484608,14918400,1858304,
8503296,14890752,1795840,
8546560,14900736,1953024,
8576512,14890752,1923840,
8631040,14934272,1969152,
8578560,14875136,1871872,
8507648,14904064,1917440,
8470784,15029248,1996032,
8444928,15066368,1989632,
8491264,15066368,2046464,
8459008,15056384,1982976,
8482560,15050496,2042112,
8469248,15018240,2011392,
8442112,14970112,1959424,
8519424,14981632,2049536,
8466176,14948096,1956608,
8476928,14934784,1986304,
8468480,14931456,2001152,
8467712,14901504,1952000,
8801280,14962432,2076928,
8468480,14938112,1909504,
8481536,14906880,1950720,
8464128,14896896,1957888,
8485120,14910720,1901568,
8513024,14913280,1938432,
8553984,14956032,1936640,
8639488,14957824,2021120,
8626944,14993152,2031872,
8566272,14958080,1998592,
8492800,14958080,2014208,
8457216,14945536,1967872,
8472320,14920960,2020096,
8456704,14920192,1981696,
8476928,14906112,1992704,
8458240,14904576,2008576,
8457216,14910208,1891840,
8487424,14898176,1953280,
8483840,14878976,1932800,
8470272,14847488,1893376,
8460032,14851584,1910528,
8478464,14854400,1911808,
8650752,14905344,2027520,
8608256,14988544,2024448,
8517632,14921472,2019840,
8512000,14924544,2041856,
8524032,14926592,2009344,
8555008,14943232,2035456,
8562688,14965248,1993728,
8608512,14998016,2051584,
8675072,15020544,2027520,
8688128,15033344,2082048,
8605952,15073280,2121984,
8553216,15070720,2013696,
8576256,14968320,2016256,
8560640,15054848,2068736,
8582144,15020544,2009344,
8589824,15032832,2107392,
8597504,15026944,2071552,
8630272,15058944,2131712,
8612096,15047936,2144512,
8600576,15021056,2070272,
8637952,15083008,2153984,
8558848,15234560,2288128,
8568320,15204864,2302720,
8578304,15183872,2195200,
8625664,15124480,1955328,
8814336,15157760,2252032,
8592128,15069184,2093312,
8539904,15091968,1917184,
8560384,15084800,2034944,
8548608,15086336,2032640,
8585728,15103488,2131200,
8599296,15058944,2055168,
8601600,15140352,1934848,
