3728,2457600,
15076608,15261184,1585152,
15125248,15352576,1614336,
15100416,15289600,1593856,
15140608,15407616,1657088,
15125504,15279872,1630208,
15249152,15422464,1731328,
15185152,15291648,1654272,
15161600,15455744,1672448,
15079680,15378176,1608448,
15074048,15428864,1643264,
15072256,15431936,1606912,
15033600,15382528,1604864,
15084800,15464704,1649152,
15046144,15373824,1618688,
15096832,15497472,1631488,
15079936,15352576,1605376,
15093248,15435520,1705472,
15036160,15217408,1670400,
15018496,15290368,1677312,
15360256,15222784,1738240,
15072512,15506688,1758976,
15029248,15550464,1641472,
15013888,15379200,1567232,
15059968,15280640,1531648,
15017984,15108864,1478656,
15077888,15239424,1501184,
15063040,15131136,1476864,
15131136,15328768,1574400,
15073280,15245824,1495808,
15023360,15297024,1511680,
14982144,15239424,1474816,
15003904,15254784,1516800,
15016192,15283968,1526784,
14962432,15204608,1477632,
15008000,15292416,1472768,
14953472,15220992,1480192,
15009024,15410944,1576704,
14938368,15293952,1508864,
14940928,15425280,1536768,
14906624,15395584,1562368,
15086336,15460352,1660416,
14949120,15465984,1638656,
14857472,15424512,1552384,
14881280,15453696,1565696,
14852608,15363584,1532672,
14878208,15441664,1546240,
14867712,15288064,1473536,
14986240,15470336,1554688,
14960384,15340544,1469952,
14962688,15438592,1467392,
14867200,15301376,1368064,
14865152,15344128,1405696,
14879232,15359488,1437696,
14884608,15399936,1443584,
14906624,15548160,1499392,
14880000,15459840,1478400,
14968320,15507200,1512192,
14902784,15390976,1452288,
14929664,15499008,1434624,
14873856,15346432,1402112,
14922240,15446528,1424640,
14907648,15350016,1366272,
15354624,15495680,1541376,
14934784,15500288,1506560,
14900224,15403008,1470464,
14935552,15369472,1329408,
14891776,15251200,1203712,
14994688,15286272,1284096,
14974208,15182336,1265408,
15065344,15398400,1355008,
15049728,15326976,1300736,
15009536,15413760,1335808,
14937088,15287808,1261568,
14933248,15333376,1265408,
14964736,15368448,1275648,
14926592,15331584,1321216,
14974720,15435008,1351424,
14945280,15333632,1337088,
14974208,15433472,1337344,
14923008,15299328,1338880,
14963968,15410176,1391104,
14928640,15307520,1331456,
14922496,15403520,1381376,
14902272,15321856,1332992,
15434496,15448832,1612544,
14976000,15473920,1454080,
14951680,15391744,1428736,
14974976,15448576,1427968,
14944512,15368960,1433856,
14992640,15404032,1351424,
14985216,15265792,1355264,
15093248,15418880,1449728,
15065856,15301632,1406208,
15002624,15389696,1410304,
14949376,15275776,1387776,
14945280,15298560,1408768,
14976512,15303680,1386240,
14948352,15329792,1416448,
14971648,15442944,1410048,
14942464,15348480,1398528,
14954752,15388416,1395968,
14917888,15274240,1327360,
14969600,15415552,1384960,
14930432,15337216,1356800,
14942976,15410176,1369856,
14909696,15397888,1318144,
153333716,
15030528,15314688,1144064,
14938112,15329024,1086208,
1494630134080,
15059712,15289856,1107200,
15063552,15383040,1154816,
15030528,15314688,1144064,
14938112,15329024,1086208,
14946304,15332096,1093376,
14903296,15305216,1092864,
14941440,15364096,1072128,
14910720,15272960,1071104,
14954496,15394304,1110272,
14907136,15275264,1077504,
14965760,15392256,1154816,
14878720,15292928,1037056,
14936832,15371008,1112064,
14872320,15283456,1062400,
15243008,15376384,1206528,
14959616,15441664,1100544,
14896896,15261184,1089280,
14934272,15344896,1107968,
14896896,15258368,1075200,
14940928,15379968,1121280,
14914816,15225600,1076224,
15006208,15284480,1113088,
14973440,15208448,1085184,
14917888,15257600,1036288,
14885120,15160064,1005824,
14830336,15161600,984832,
14838784,15245824,1010688,
14795264,15171584,979200,
14857984,15303424,1060608,
14816000,15161088,985600,
14801152,15267584,1007104,
14821120,15751424,1351168,
14795008,16111872,1669376,
14798592,16009984,1571584,
14890240,15688704,1453568,
14844672,15816960,1404928,
14778368,15555072,1313792,
14885120,15671040,1378304,
14758912,15417344,1201152,
14940160,15516160,1341952,
14879488,15372288,1291008,
14856704,15343360,1324032,
14921984,15391744,1404672,
14910720,15313920,1349120,
14916352,15470592,1397504,
14823424,15338240,1342976,
14907904,15526656,1429504,
14808064,15299584,1364480,
14894592,15442688,1413632,
14822400,15241984,1365760,
14895104,15344128,1394688,
14816000,15154176,1285888,
14822656,15100416,1258752,
14801152,15201280,1281536,
14812672,15141888,1318144,
15024384,15323392,1433600,
14753024,15023104,1196288,
14763776,15089920,1259008,
14697984,14885888,1126400,
14726656,15026944,1153024,
14659584,14822400,1083392,
14705664,14968064,1117184,
14665216,14834944,1048576,
14644224,14691072,962048,
14599168,14716672,920576,
14491136,14533376,814336,
14546432,14635520,789504,
14494464,14585088,796672,
14464512,14555648,767744,
14527488,14561536,784384,
14486016,14396928,689152,
14520064,14631424,794368,
14464512,14502656,722688,
14485760,14597888,760832,
14569984,14676736,851712,
14615296,14604800,837376,
14550528,14797312,884736,
14479104,14594816,828672,
14495744,14654464,825600,
14516992,14734592,868608,
14503680,14599168,834816,
14590720,14826240,937984,
14551808,14656256,902400,
14577408,14713088,916480,
14556672,14736640,932352,
14488576,14486016,784640,
14571264,14707712,892928,
14530816,14621440,860160,
14535424,14890240,997120,
14586112,14846976,989696,
14583040,14697472,879104,
14620416,14829056,935168,
14561792,14578176,838656,
14596096,14599168,831744,
14599424,14670592,852480,
14931200,14617344,966912,
14670080,14841088,973568,
14593536,14682112,894976,
14652416,14789632,954368,
14677504,14864640,1039104,
14648576,14732288,993280,
14746112,14970368,1121536,
14735104,14821888,1106432,
14809600,15075328,1233664,
14709760,14913280,1150208,
14712320,15075840,1217536,
14682112,14982912,1206272,
14671616,14988544,1204736,
14709248,15058432,1300480,
14664960,14934272,1256960,
14743808,15130112,1388032,
14659584,14892032,1213696,
14698240,15049216,1308672,
14591488,14779904,1186816,
14610944,14834432,1195264,
14969088,14647808,1262592,
14607872,14744832,1157632,
14576128,14677760,1095680,
14552320,14683136,1062656,
14540288,14739200,1096192,
14537728,14622464,1045248,
14572800,14826752,1157376,
14533376,14580736,1098496,
14595840,14832896,1218048,
14459136,14555392,1049344,
14457088,14727424,1115136,
14359552,14568704,912128,
14379008,14685184,958464,
14364672,14754816,1006336,
14305024,14537472,906240,
14365440,14676992,1014528,
14266880,14402048,898048,
14294016,14572544,931072,
14240256,14528512,908800,
14188032,14355968,831232,
14675456,14613760,1083648,
14221056,14424064,891392,
14267392,14602240,966400,
14219520,14443520,930048,
14208512,14441472,896768,
14239232,14499072,945664,
14217984,14273280,836096,
14341376,14466304,904448,
14298624,14248448,835072,
14274816,14212864,777472,
14229504,14214400,748544,
14161152,13966848,611584,
14246144,14157312,681472,
14209280,13939712,569856,
14210048,13943040,557568,
14233088,13998592,588032,
14207232,13821184,529152,
14230016,14015232,576256,
14157568,13865216,500224,
14173696,13924864,546048,
14274816,13970176,608256,
14340096,13825280,583424,
14205184,14019840,605952,
14124800,13815808,528640,
14170112,13903360,544512,
14179328,13962240,604160,
14140160,13787648,495360,
14224384,14014976,606720,
